Time(s),Voltage(V)
0.000000000000e+00,-0.000000000000
1.000000000000e-10,-0.000000000000
2.000000000000e-10,0.000000000000
3.263692875125e-10,0.000000000000
4.186180528511e-10,0.000000000000
5.611976896797e-10,0.000000000001
8.463569633367e-10,0.000000000005
1.000000000000e-09,0.000000000009
1.045306911729e-09,0.000000000011
1.123383182482e-09,0.000000000014
1.279535723989e-09,0.000000000022
1.591840807002e-09,0.000000000044
2.216450973028e-09,0.000000000113
3.465671305079e-09,0.000000000350
5.964111969183e-09,0.000000001216
1.096099329739e-08,0.000000004514
2.095475595380e-08,0.000000017329
4.094228126663e-08,0.000000067584
8.091733189228e-08,0.000000265190
1.608674331436e-07,0.000001040911
3.207676356462e-07,0.000004070520
6.405680406514e-07,0.000015800155
1.280168850662e-06,0.000060617947
2.559370470683e-06,0.000228576169
4.168000000000e-06,0.000574392146
4.168100000000e-06,0.000574417967
4.168300000000e-06,0.000574469805
4.168700000000e-06,0.000574573482
4.169000000000e-06,0.000574651240
4.169080000000e-06,0.000574671975
4.169240000000e-06,0.000574713445
4.169560000000e-06,0.000574796384
4.170200000000e-06,0.000574962258
4.171480000000e-06,0.000575293988
4.174040000000e-06,0.000575957378
4.179160000000e-06,0.000577283880
4.189400000000e-06,0.000579935774
4.209880000000e-06,0.000585235115
4.250840000000e-06,0.000595816014
4.332760000000e-06,0.000616906686
4.496600000000e-06,0.000658803584
4.824280000000e-06,0.000741460088
5.479640000000e-06,0.000902227903
6.790359999999e-06,0.001205616249
9.411799999998e-06,0.001740101639
1.000000000000e-05,0.001846822213
1.000010000000e-05,0.001846839946
1.000030000000e-05,0.001846875413
1.000070000000e-05,0.001846946346
1.000100000000e-05,0.001846999549
1.000108000000e-05,0.001847013737
1.000124000000e-05,0.001847042114
1.000156000000e-05,0.001847098872
1.000220000000e-05,0.001847212407
1.000348000000e-05,0.001847439546
1.000604000000e-05,0.001847894109
1.001116000000e-05,0.001848804363
1.002140000000e-05,0.001850629393
1.004188000000e-05,0.001854297512
1.008284000000e-05,0.001861705853
1.016476000000e-05,0.001876809811
1.032860000000e-05,0.001908158004
1.065628000000e-05,0.001975347568
1.131164000000e-05,0.002127193598
1.262236000000e-05,0.002497175001
1.416800000000e-05,0.003039827045
1.416810000000e-05,0.003039860709
1.416830000000e-05,0.003039938089
1.416870000000e-05,0.003040092848
1.416900000000e-05,0.003040208916
1.416908000000e-05,0.003040239868
1.416924000000e-05,0.003040301770
1.416956000000e-05,0.003040425574
1.417020000000e-05,0.003040673178
1.417148000000e-05,0.003041168367
1.417404000000e-05,0.003042158674
1.417916000000e-05,0.003044139005
1.418940000000e-05,0.003048098530
1.420988000000e-05,0.003056013037
1.425084000000e-05,0.003071823870
1.433276000000e-05,0.003103372829
1.449660000000e-05,0.003166179944
1.482428000000e-05,0.003290631245
1.547964000000e-05,0.003534884436
1.679036000000e-05,0.004004812431
1.941179999999e-05,0.004870523909
2.000000000000e-05,0.005051211584
2.000010000000e-05,0.005051241881
2.000030000000e-05,0.005051302475
2.000070000000e-05,0.005051423661
2.000100000000e-05,0.005051514553
2.000108000000e-05,0.005051538792
2.000124000000e-05,0.005051587269
2.000156000000e-05,0.005051684228
2.000220000000e-05,0.005051878161
2.000348000000e-05,0.005052266087
2.000604000000e-05,0.005053042179
2.001116000000e-05,0.005054595326
2.002140000000e-05,0.005057705469
2.004188000000e-05,0.005063941133
2.008284000000e-05,0.005076473885
2.016476000000e-05,0.005101784347
2.032860000000e-05,0.005153379234
2.065628000000e-05,0.005260419061
2.131164000000e-05,0.005489548984
2.262236000000e-05,0.006005434593
2.416800000000e-05,0.006707122761
2.416810000000e-05,0.006707169911
2.416830000000e-05,0.006707267027
2.416870000000e-05,0.006707461258
2.416900000000e-05,0.006707606931
2.416908000000e-05,0.006707645776
2.416924000000e-05,0.006707723468
2.416956000000e-05,0.006707878849
2.417020000000e-05,0.006708189608
2.417148000000e-05,0.006708811107
2.417404000000e-05,0.006710054033
2.417916000000e-05,0.006712539596
2.418940000000e-05,0.006717509567
2.420988000000e-05,0.006727444892
2.425084000000e-05,0.006747297068
2.433276000000e-05,0.006786927526
2.449660000000e-05,0.006865892896
2.482428000000e-05,0.007022641628
2.547964000000e-05,0.007331412549
2.679036000000e-05,0.007930060777
2.941179999999e-05,0.009051894166
3.000000000000e-05,0.009289802829
3.000010000000e-05,0.009289842846
3.000030000000e-05,0.009289922880
3.000070000000e-05,0.009290082947
3.000100000000e-05,0.009290202998
3.000108000000e-05,0.009290235012
3.000124000000e-05,0.009290299042
3.000156000000e-05,0.009290427103
3.000220000000e-05,0.009290683240
3.000348000000e-05,0.009291195567
3.000604000000e-05,0.009292220435
3.001116000000e-05,0.009294271024
3.002140000000e-05,0.009298375619
3.004188000000e-05,0.009306598459
3.008284000000e-05,0.009323098676
3.016476000000e-05,0.009356316675
3.032860000000e-05,0.009423618369
3.065628000000e-05,0.009561648689
3.131164000000e-05,0.009851140286
3.262236000000e-05,0.010481775959
3.416800000000e-05,0.011309525384
3.416810000000e-05,0.011309581183
3.416830000000e-05,0.011309694000
3.416870000000e-05,0.011309919635
3.416900000000e-05,0.011310088860
3.416908000000e-05,0.011310133987
3.416924000000e-05,0.011310224240
3.416956000000e-05,0.011310404744
3.417020000000e-05,0.011310765748
3.417148000000e-05,0.011311487737
3.417404000000e-05,0.011312931643
3.417916000000e-05,0.011315819161
3.418940000000e-05,0.011321593027
3.420988000000e-05,0.011333136076
3.425084000000e-05,0.011356203441
3.433276000000e-05,0.011402263242
3.449660000000e-05,0.011494083143
3.482428000000e-05,0.011676524254
3.547963999999e-05,0.012036612705
3.679035999999e-05,0.012737622953
3.941179999998e-05,0.014063053493
4.000000000000e-05,0.014346435237
4.000010000000e-05,0.014346482978
4.000030000000e-05,0.014346578460
4.000070000000e-05,0.014346769424
4.000100000000e-05,0.014346912647
4.000108000000e-05,0.014346950841
4.000124000000e-05,0.014347027228
4.000156000000e-05,0.014347180006
4.000220000000e-05,0.014347485574
4.000348000000e-05,0.014348096758
4.000604000000e-05,0.014349319321
4.001116000000e-05,0.014351765223
4.002140000000e-05,0.014356660130
4.004188000000e-05,0.014366462349
4.008284000000e-05,0.014386116347
4.016476000000e-05,0.014425622103
4.032860000000e-05,0.014505420841
4.065628000000e-05,0.014668137153
4.131164000000e-05,0.015005811798
4.262236000001e-05,0.015728366627
4.416800000000e-05,0.016657510451
4.416810000000e-05,0.016657572855
4.416830000000e-05,0.016657698326
4.416870000000e-05,0.016657949270
4.416900000000e-05,0.016658137476
4.416908000000e-05,0.016658187664
4.416924000000e-05,0.016658288040
4.416956000000e-05,0.016658488791
4.417020000000e-05,0.016658890288
4.417148000000e-05,0.016659693264
4.417404000000e-05,0.016661299142
4.417916000000e-05,0.016664510601
4.418940000000e-05,0.016670932332
4.420988000000e-05,0.016683771051
4.425084000000e-05,0.016709429512
4.433276000000e-05,0.016760670535
4.449660000000e-05,0.016862848987
4.482428000000e-05,0.017065991588
4.547964000000e-05,0.017467420219
4.679036000001e-05,0.018250856795
4.941180000001e-05,0.019740100289
5.000000000000e-05,0.020060045502
5.000010000000e-05,0.020060099453
5.000030000000e-05,0.020060207355
5.000070000000e-05,0.020060423159
5.000100000000e-05,0.020060585012
5.000108000000e-05,0.020060628173
5.000124000000e-05,0.020060714497
5.000156000000e-05,0.020060887146
5.000220000000e-05,0.020061232455
5.000348000000e-05,0.020061923119
5.000604000000e-05,0.020063304626
5.001116000000e-05,0.020066068356
5.002140000000e-05,0.020071598681
5.004188000000e-05,0.020082670789
5.008284000000e-05,0.020104860779
5.016476000000e-05,0.020149423433
5.032860000000e-05,0.020239276116
5.065628000000e-05,0.020421864722
5.131164000000e-05,0.020798370432
5.262236000001e-05,0.021595142194
5.416800000000e-05,0.022606329609
5.416810000000e-05,0.022606397261
5.416830000000e-05,0.022606532983
5.416870000000e-05,0.022606804425
5.416900000000e-05,0.022607008006
5.416908000000e-05,0.022607062294
5.416924000000e-05,0.022607170870
5.416956000000e-05,0.022607388020
5.417020000000e-05,0.022607822316
5.417148000000e-05,0.022608690888
5.417404000000e-05,0.022610427959
5.417916000000e-05,0.022613901799
5.418940000000e-05,0.022620848280
5.420988000000e-05,0.022634736439
5.425084000000e-05,0.022662493545
5.433276000000e-05,0.022717930918
5.449660000000e-05,0.022828498304
5.482428000000e-05,0.023048403684
5.547964000000e-05,0.023483297260
5.679036000001e-05,0.024333419219
5.941180000001e-05,0.025955038506
6.000000000000e-05,0.026304502214
6.000010000000e-05,0.026304561178
6.000030000000e-05,0.026304679105
6.000070000000e-05,0.026304914959
6.000100000000e-05,0.026305091850
6.000108000000e-05,0.026305139022
6.000124000000e-05,0.026305233365
6.000156000000e-05,0.026305422054
6.000220000000e-05,0.026305799442
6.000348000000e-05,0.026306554260
6.000604000000e-05,0.026308064064
6.001116000000e-05,0.026311084342
6.002140000000e-05,0.026317127577
6.004188000000e-05,0.026329224762
6.008284000000e-05,0.026353461936
6.016476000000e-05,0.026402107128
6.032860000000e-05,0.026500077904
6.065628000001e-05,0.026698717453
6.131164000001e-05,0.027106604520
6.262236000002e-05,0.027963406663
6.416800000000e-05,0.029041012927
6.416810000000e-05,0.029041084792
6.416830000000e-05,0.029041228815
6.416870000000e-05,0.029041516859
6.416900000000e-05,0.029041732890
6.416908000000e-05,0.029041790498
6.416924000000e-05,0.029041905715
6.416956000000e-05,0.029042136146
6.417020000000e-05,0.029042597003
6.417148000000e-05,0.029043518699
6.417404000000e-05,0.029045362015
6.417916000000e-05,0.029049048343
6.418940000000e-05,0.029056419784
6.420988000000e-05,0.029071157806
6.425084000000e-05,0.029100614408
6.433276000000e-05,0.029159449847
6.449660000000e-05,0.029276809667
6.482428000000e-05,0.029510285100
6.547964000000e-05,0.029972259327
6.679036000001e-05,0.030876303241
6.941180000001e-05,0.032604796543
7.000000000000e-05,0.032978061717
7.000010000000e-05,0.032978124721
7.000030000000e-05,0.032978250731
7.000070000000e-05,0.032978502748
7.000100000000e-05,0.032978691761
7.000108000000e-05,0.032978742165
7.000124000000e-05,0.032978842973
7.000156000000e-05,0.032979044592
7.000220000000e-05,0.032979447840
7.000348000000e-05,0.032980254376
7.000604000000e-05,0.032981867605
7.001116000000e-05,0.032985094696
7.002140000000e-05,0.032991551409
7.004188000000e-05,0.033004474956
7.008284000000e-05,0.033030362485
7.016476000000e-05,0.033082298945
7.032860000000e-05,0.033186814737
7.065628000000e-05,0.033398396199
7.131164000000e-05,0.033831589710
7.262236000001e-05,0.034736806668
7.416800000000e-05,0.035867972366
7.416810000000e-05,0.035868047615
7.416830000000e-05,0.035868198329
7.416870000000e-05,0.035868499758
7.416900000000e-05,0.035868725828
7.416908000000e-05,0.035868786113
7.416924000000e-05,0.035868906683
7.416956000000e-05,0.035869147822
7.417020000000e-05,0.035869630094
7.417148000000e-05,0.035870594620
7.417404000000e-05,0.035872523595
7.417916000000e-05,0.035876381238
7.418940000000e-05,0.035884095293
7.420988000000e-05,0.035899518487
7.425084000000e-05,0.035930345205
